icb23cd,Count,Gender,Year,Geography_name,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,ICB23CD
E54000008,851,Females,2022,NHS Cheshire and Merseyside Integrated Care Board,Bowel,All Bowel,Age-standardised,59.7,55.7,63.9,E54000008
E54000010,427,Females,2022,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Bowel,All Bowel,Age-standardised,64,58,70.5,E54000010
E54000011,183,Females,2022,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Bowel,All Bowel,Age-standardised,57.4,49.3,66.5,E54000011
E54000013,305,Females,2022,NHS Lincolnshire Integrated Care Board,Bowel,All Bowel,Age-standardised,63.1,56.2,70.7,E54000013
E54000015,285,Females,2022,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Bowel,All Bowel,Age-standardised,49.6,44,55.7,E54000015
E54000018,254,Females,2022,NHS Coventry and Warwickshire Integrated Care Board,Bowel,All Bowel,Age-standardised,51.2,45.1,58,E54000018
E54000019,347,Females,2022,NHS Herefordshire and Worcestershire Integrated Care Board,Bowel,All Bowel,Age-standardised,67.8,60.7,75.4,E54000019
E54000022,409,Females,2022,NHS Norfolk and Waveney Integrated Care Board,Bowel,All Bowel,Age-standardised,59.3,53.6,65.5,E54000022
E54000023,427,Females,2022,NHS Suffolk and North East Essex Integrated Care Board,Bowel,All Bowel,Age-standardised,69.1,62.6,76.1,E54000023
E54000024,273,Females,2022,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Bowel,All Bowel,Age-standardised,60.2,53.2,67.8,E54000024
E54000025,436,Females,2022,NHS Hertfordshire and West Essex Integrated Care Board,Bowel,All Bowel,Age-standardised,55.6,50.4,61.1,E54000025
E54000026,403,Females,2022,NHS Mid and South Essex Integrated Care Board,Bowel,All Bowel,Age-standardised,60,54.3,66.3,E54000026
E54000027,405,Females,2022,NHS North West London Integrated Care Board,Bowel,All Bowel,Age-standardised,48.6,44,53.7,E54000027
E54000028,302,Females,2022,NHS North Central London Integrated Care Board,Bowel,All Bowel,Age-standardised,54.2,48.2,60.7,E54000028
E54000029,374,Females,2022,NHS North East London Integrated Care Board,Bowel,All Bowel,Age-standardised,56.9,51.2,63.1,E54000029
E54000030,456,Females,2022,NHS South East London Integrated Care Board,Bowel,All Bowel,Age-standardised,64.5,58.6,70.8,E54000030
E54000031,370,Females,2022,NHS South West London Integrated Care Board,Bowel,All Bowel,Age-standardised,57.6,51.8,63.9,E54000031
E54000032,654,Females,2022,NHS Kent and Medway Integrated Care Board,Bowel,All Bowel,Age-standardised,63.2,58.4,68.3,E54000032
E54000034,221,Females,2022,NHS Frimley Integrated Care Board,Bowel,All Bowel,Age-standardised,59.3,51.6,67.7,E54000034
E54000036,258,Females,2022,NHS Cornwall and the Isles of Scilly Integrated Care Board,Bowel,All Bowel,Age-standardised,64.6,56.9,73.1,E54000036
E54000037,528,Females,2022,NHS Devon Integrated Care Board,Bowel,All Bowel,Age-standardised,65.7,60.1,71.7,E54000037
E54000038,244,Females,2022,NHS Somerset Integrated Care Board,Bowel,All Bowel,Age-standardised,63.8,55.9,72.5,E54000038
E54000039,274,Females,2022,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Bowel,All Bowel,Age-standardised,56.4,49.9,63.6,E54000039
E54000040,325,Females,2022,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Bowel,All Bowel,Age-standardised,60.7,54.2,67.7,E54000040
E54000041,305,Females,2022,NHS Dorset Integrated Care Board,Bowel,All Bowel,Age-standardised,56,49.7,62.8,E54000041
E54000042,722,Females,2022,NHS Hampshire and Isle of Wight Integrated Care Board,Bowel,All Bowel,Age-standardised,66.8,62,71.9,E54000042
