Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2022,Lung,All Lung,Age-standardised,64.6,57.4,72.4,295,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2022,Lung,All Lung,Age-standardised,72.3,63.9,81.5,274,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2022,Lung,All Lung,Age-standardised,95.3,86.7,104.6,454,E54000055
NHS Black Country Integrated Care Board,E54000062,Males,2022,Lung,All Lung,Age-standardised,92.7,84.5,101.5,474,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2022,Lung,All Lung,Age-standardised,81.9,73.3,91.2,332,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2022,Lung,All Lung,Age-standardised,60.8,55.4,66.6,473,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2022,Lung,All Lung,Age-standardised,69.4,61.5,78,280,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2022,Lung,All Lung,Age-standardised,102,96.4,107.9,1242,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2022,Lung,All Lung,Age-standardised,85.7,76,96.3,291,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2022,Lung,All Lung,Age-standardised,83.3,74.8,92.6,352,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2022,Lung,All Lung,Age-standardised,81.6,74.1,89.6,439,E54000058
NHS Devon Integrated Care Board,E54000037,Males,2022,Lung,All Lung,Age-standardised,75.4,69.1,82.2,528,E54000037
NHS Dorset Integrated Care Board,E54000041,Males,2022,Lung,All Lung,Age-standardised,68.4,61.1,76.4,321,E54000041
NHS Frimley Integrated Care Board,E54000034,Males,2022,Lung,All Lung,Age-standardised,60,51.6,69.3,185,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Males,2022,Lung,All Lung,Age-standardised,64,55.7,73.2,217,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Males,2022,Lung,All Lung,Age-standardised,111.4,105.2,117.9,1249,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2022,Lung,All Lung,Age-standardised,77.7,72.1,83.6,714,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2022,Lung,All Lung,Age-standardised,66.4,59.1,74.5,298,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2022,Lung,All Lung,Age-standardised,70.4,64,77.2,446,E54000025
