Geography_name,Year,Count,icb23cd,Detailed_group,Main_group,type_of_rate,Rate,LCI,UCI,Gender,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,5,E54000040,All Breast,Breast,Age-standardised,,,,Males,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2021,7,E54000024,All Breast,Breast,Age-standardised,,,,Males,E54000024
NHS Birmingham and Solihull Integrated Care Board,2021,13,E54000055,All Breast,Breast,Age-standardised,2.5,1.3,4.3,Males,E54000055
NHS Black Country Integrated Care Board,2021,7,E54000062,All Breast,Breast,Age-standardised,,,,Males,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2021,5,E54000039,All Breast,Breast,Age-standardised,,,,Males,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2021,18,E54000044,All Breast,Breast,Age-standardised,2.4,1.4,3.8,Males,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,2021,7,E54000056,All Breast,Breast,Age-standardised,,,,Males,E54000056
NHS Cheshire and Merseyside Integrated Care Board,2021,19,E54000008,All Breast,Breast,Age-standardised,1.6,0.9,2.5,Males,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,2021,3,E54000036,All Breast,Breast,Age-standardised,,,,Males,E54000036
NHS Coventry and Warwickshire Integrated Care Board,2021,5,E54000018,All Breast,Breast,Age-standardised,,,,Males,E54000018
NHS Derby and Derbyshire Integrated Care Board,2021,7,E54000058,All Breast,Breast,Age-standardised,,,,Males,E54000058
NHS Devon Integrated Care Board,2021,9,E54000037,All Breast,Breast,Age-standardised,,,,Males,E54000037
NHS Dorset Integrated Care Board,2021,6,E54000041,All Breast,Breast,Age-standardised,,,,Males,E54000041
NHS Frimley Integrated Care Board,2021,4,E54000034,All Breast,Breast,Age-standardised,,,,Males,E54000034
NHS Gloucestershire Integrated Care Board,2021,3,E54000043,All Breast,Breast,Age-standardised,,,,Males,E54000043
NHS Greater Manchester Integrated Care Board,2021,15,E54000057,All Breast,Breast,Age-standardised,1.2,0.7,2.1,Males,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,2021,13,E54000042,All Breast,Breast,Age-standardised,1.4,0.8,2.5,Males,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,2021,5,E54000019,All Breast,Breast,Age-standardised,,,,Males,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,2021,8,E54000025,All Breast,Breast,Age-standardised,,,,Males,E54000025
NHS Humber and North Yorkshire Integrated Care Board,2021,8,E54000051,All Breast,Breast,Age-standardised,,,,Males,E54000051
NHS Kent and Medway Integrated Care Board,2021,12,E54000032,All Breast,Breast,Age-standardised,1.3,0.7,2.3,Males,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,2021,15,E54000048,All Breast,Breast,Age-standardised,1.8,1,3,Males,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2021,5,E54000015,All Breast,Breast,Age-standardised,,,,Males,E54000015
NHS Lincolnshire Integrated Care Board,2021,7,E54000013,All Breast,Breast,Age-standardised,,,,Males,E54000013
NHS Mid and South Essex Integrated Care Board,2021,9,E54000026,All Breast,Breast,Age-standardised,,,,Males,E54000026
NHS Norfolk and Waveney Integrated Care Board,2021,8,E54000022,All Breast,Breast,Age-standardised,,,,Males,E54000022
NHS North Central London Integrated Care Board,2021,7,E54000028,All Breast,Breast,Age-standardised,,,,Males,E54000028
NHS North East and North Cumbria Integrated Care Board,2021,23,E54000050,All Breast,Breast,Age-standardised,1.6,1,2.4,Males,E54000050
NHS North East London Integrated Care Board,2021,9,E54000029,All Breast,Breast,Age-standardised,,,,Males,E54000029
NHS North West London Integrated Care Board,2021,18,E54000027,All Breast,Breast,Age-standardised,2.6,1.5,4.1,Males,E54000027
NHS Northamptonshire Integrated Care Board,2021,2,E54000059,All Breast,Breast,Age-standardised,,,,Males,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,2021,3,E54000060,All Breast,Breast,Age-standardised,,,,Males,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2021,2,E54000011,All Breast,Breast,Age-standardised,,,,Males,E54000011
NHS Somerset Integrated Care Board,2021,6,E54000038,All Breast,Breast,Age-standardised,,,,Males,E54000038
NHS South East London Integrated Care Board,2021,5,E54000030,All Breast,Breast,Age-standardised,,,,Males,E54000030
NHS South West London Integrated Care Board,2021,6,E54000031,All Breast,Breast,Age-standardised,,,,Males,E54000031
NHS South Yorkshire Integrated Care Board,2021,7,E54000061,All Breast,Breast,Age-standardised,,,,Males,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021,7,E54000010,All Breast,Breast,Age-standardised,,,,Males,E54000010
NHS Suffolk and North East Essex Integrated Care Board,2021,4,E54000023,All Breast,Breast,Age-standardised,,,,Males,E54000023
NHS Surrey Heartlands Integrated Care Board,2021,13,E54000063,All Breast,Breast,Age-standardised,2.7,1.4,4.6,Males,E54000063
NHS Sussex Integrated Care Board,2021,12,E54000064,All Breast,Breast,Age-standardised,1.4,0.7,2.4,Males,E54000064
NHS West Yorkshire Integrated Care Board,2021,6,E54000054,All Breast,Breast,Age-standardised,,,,Males,E54000054
