Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,E54000040,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,38,7.9,5.6,10.9
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2022,E54000024,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,38,7.6,5.4,10.5
NHS Birmingham and Solihull Integrated Care Board,2022,E54000055,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,80,12,9.4,14.9
NHS Black Country Integrated Care Board,2022,E54000062,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,46,7.7,5.6,10.3
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2022,E54000039,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,59,12.2,9.3,15.8
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2022,E54000044,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,76,8.4,6.6,10.5
NHS Cambridgeshire and Peterborough Integrated Care Board,2022,E54000056,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,60,13.1,10,16.8
NHS Cheshire and Merseyside Integrated Care Board,2022,E54000008,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,111,8.4,6.9,10.1
NHS Cornwall and the Isles of Scilly Integrated Care Board,2022,E54000036,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,24,7.1,4.5,10.7
NHS Coventry and Warwickshire Integrated Care Board,2022,E54000018,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,41,8.6,6.2,11.7
NHS Derby and Derbyshire Integrated Care Board,2022,E54000058,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,35,6.5,4.5,9.1
NHS Devon Integrated Care Board,2022,E54000037,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,69,10.5,8.1,13.4
NHS Dorset Integrated Care Board,2022,E54000041,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,42,10.6,7.6,14.4
NHS Frimley Integrated Care Board,2022,E54000034,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,22,5.6,3.5,8.5
NHS Gloucestershire Integrated Care Board,2022,E54000043,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,48,14.3,10.5,19
NHS Greater Manchester Integrated Care Board,2022,E54000057,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,117,8.3,6.8,9.9
NHS Hampshire and Isle of Wight Integrated Care Board,2022,E54000042,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,76,8,6.3,10
NHS Herefordshire and Worcestershire Integrated Care Board,2022,E54000019,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,35,8.2,5.7,11.5
NHS Hertfordshire and West Essex Integrated Care Board,2022,E54000025,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,107,13.9,11.4,16.8
NHS Humber and North Yorkshire Integrated Care Board,2022,E54000051,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,83,9.2,7.3,11.4
NHS Kent and Medway Integrated Care Board,2022,E54000032,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,120,12.5,10.4,15
NHS Lancashire and South Cumbria Integrated Care Board,2022,E54000048,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,88,10.1,8.1,12.4
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2022,E54000015,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,30,5.3,3.6,7.6
NHS Lincolnshire Integrated Care Board,2022,E54000013,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,42,10.7,7.7,14.6
NHS Mid and South Essex Integrated Care Board,2022,E54000026,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,50,8,5.9,10.6
NHS Norfolk and Waveney Integrated Care Board,2022,E54000022,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,46,8.5,6.2,11.4
NHS North Central London Integrated Care Board,2022,E54000028,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,109,15.2,12.4,18.4
NHS North East and North Cumbria Integrated Care Board,2022,E54000050,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,170,11.1,9.5,12.9
NHS North East London Integrated Care Board,2022,E54000029,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,96,11.1,8.8,13.6
NHS North West London Integrated Care Board,2022,E54000027,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,132,12.3,10.3,14.7
NHS Northamptonshire Integrated Care Board,2022,E54000059,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,36,9.2,6.4,12.7
NHS Nottingham and Nottinghamshire Integrated Care Board,2022,E54000060,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,54,9.5,7.1,12.4
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2022,E54000011,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,23,8.4,5.2,12.6
NHS Somerset Integrated Care Board,2022,E54000038,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,21,6.8,4.1,10.5
NHS South East London Integrated Care Board,2022,E54000030,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,85,9,7.2,11.3
NHS South West London Integrated Care Board,2022,E54000031,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,116,15.6,12.8,18.8
NHS South Yorkshire Integrated Care Board,2022,E54000061,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,70,10.1,7.8,12.8
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022,E54000010,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,48,8.2,6.1,11
NHS Suffolk and North East Essex Integrated Care Board,2022,E54000023,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,51,10.1,7.5,13.3
NHS Surrey Heartlands Integrated Care Board,2022,E54000063,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,62,11.7,8.9,15
NHS Sussex Integrated Care Board,2022,E54000064,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,78,8.8,6.9,11
NHS West Yorkshire Integrated Care Board,2022,E54000054,Females,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,150,12.6,10.6,14.7
