SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",119,Age-standardised,24.1,19.9,28.8
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",125,Age-standardised,28.6,23.8,34
E38000258,NHS Birmingham and Solihull ICB - 15E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",170,Age-standardised,30.2,25.8,35.2
E38000259,NHS Black Country ICB - D2P2L,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",192,Age-standardised,33.7,29,38.8
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",129,Age-standardised,28.5,23.8,33.9
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",85,Age-standardised,23.9,19.1,29.6
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",63,Age-standardised,22.1,17,28.4
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",43,Age-standardised,18.4,13.3,24.8
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",117,Age-standardised,26.8,22.1,32.1
E38000068,NHS Cheshire and Merseyside ICB - 01F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",19,Age-standardised,28.6,17.2,44.7
E38000091,NHS Cheshire and Merseyside ICB - 01J,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",20,Age-standardised,25.5,15.5,39.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",29,Age-standardised,31,20.7,44.6
E38000170,NHS Cheshire and Merseyside ICB - 01V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",18,Age-standardised,23.9,13.9,38.2
E38000172,NHS Cheshire and Merseyside ICB - 01X,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",33,Age-standardised,33.7,23.2,47.4
E38000194,NHS Cheshire and Merseyside ICB - 02E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",29,Age-standardised,26.2,17.5,37.6
E38000208,NHS Cheshire and Merseyside ICB - 12F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",39,Age-standardised,20.6,14.6,28.2
E38000233,NHS Cheshire and Merseyside ICB - 27D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",117,Age-standardised,27.4,22.6,32.9
E38000101,NHS Cheshire and Merseyside ICB - 99A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",69,Age-standardised,32.2,25,40.7
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",96,Age-standardised,26.5,21.4,32.4
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",118,Age-standardised,25.5,21.1,30.5
E38000261,NHS Derby and Derbyshire ICB - 15M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",148,Age-standardised,25.1,21.2,29.6
E38000230,NHS Devon ICB - 15N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",184,Age-standardised,24.6,21.1,28.4
E38000045,NHS Dorset ICB - 11J,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",107,Age-standardised,21.9,17.9,26.6
E38000252,NHS Frimley ICB - D4U1Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",85,Age-standardised,24.5,19.5,30.3
E38000062,NHS Gloucestershire ICB - 11M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",100,Age-standardised,27.2,22.1,33.2
E38000016,NHS Greater Manchester ICB - 00T,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",37,Age-standardised,26.6,18.7,36.6
E38000024,NHS Greater Manchester ICB - 00V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",32,Age-standardised,32.6,22.3,46.1
E38000135,NHS Greater Manchester ICB - 00Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",20,Age-standardised,18.5,11.3,28.6
E38000080,NHS Greater Manchester ICB - 01D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",28,Age-standardised,26.7,17.7,38.6
E38000143,NHS Greater Manchester ICB - 01G,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",34,Age-standardised,31.8,22,44.5
E38000174,NHS Greater Manchester ICB - 01W,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",38,Age-standardised,24.3,17.1,33.3
E38000263,NHS Greater Manchester ICB - 01Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",30,Age-standardised,26.2,17.7,37.4
E38000187,NHS Greater Manchester ICB - 02A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",42,Age-standardised,36.4,26.2,49.3
E38000205,NHS Greater Manchester ICB - 02H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",44,Age-standardised,25,18.1,33.6
E38000217,NHS Greater Manchester ICB - 14L,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",47,Age-standardised,26.1,19,35.1
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",21,Age-standardised,23.1,14.3,35.4
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",266,Age-standardised,29.1,25.7,32.9
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",117,Age-standardised,24.8,20.5,29.8
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",81,Age-standardised,28.8,22.8,35.8
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",80,Age-standardised,27.4,21.7,34.2
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",49,Age-standardised,30.6,22.6,40.4
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",58,Age-standardised,27.4,20.7,35.6
E38000085,NHS Humber and North Yorkshire ICB - 03F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",38,Age-standardised,33.4,23.6,45.8
E38000119,NHS Humber and North Yorkshire ICB - 03H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",17,Age-standardised,19,11,30.5
E38000122,NHS Humber and North Yorkshire ICB - 03K,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",33,Age-standardised,33.7,23.1,47.3
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",42,Age-standardised,21.2,15.3,28.7
E38000241,NHS Humber and North Yorkshire ICB - 42D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",68,Age-standardised,24.4,18.9,31.1
E38000237,NHS Kent and Medway ICB - 91Q,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",231,Age-standardised,23.2,20.3,26.5
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",13,Age-standardised,20.5,10.9,35.1
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",19,Age-standardised,26,15.6,40.7
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",30,Age-standardised,31.2,21.1,44.6
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",58,Age-standardised,29,22,37.4
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",29,Age-standardised,30.2,20.2,43.3
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",60,Age-standardised,30.9,23.5,39.8
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",21,Age-standardised,33,20.3,50.6
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",42,Age-standardised,34.5,24.5,47.1
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",65,Age-standardised,32.3,24.9,41.3
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",54,Age-standardised,40.5,30.4,53
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",59,Age-standardised,27.4,20.8,35.3
E38000238,NHS Lincolnshire ICB - 71E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",126,Age-standardised,27.5,22.9,32.8
E38000106,NHS Mid and South Essex ICB - 06Q,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",53,Age-standardised,24.2,18.1,31.7
E38000185,NHS Mid and South Essex ICB - 07G,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",11,Age-standardised,15.3,7.6,27.5
E38000007,NHS Mid and South Essex ICB - 99E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",39,Age-standardised,29.1,20.7,39.9
E38000030,NHS Mid and South Essex ICB - 99F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",24,Age-standardised,21.8,13.8,32.6
E38000168,NHS Mid and South Essex ICB - 99G,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",26,Age-standardised,27.2,17.7,39.9
E38000239,NHS Norfolk and Waveney ICB - 26A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",188,Age-standardised,29.6,25.5,34.3
E38000240,NHS North Central London ICB - 93C,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",193,Age-standardised,32,27.6,36.9
E38000130,NHS North East and North Cumbria ICB - 00L,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",62,Age-standardised,29.7,22.7,38.1
E38000163,NHS North East and North Cumbria ICB - 00N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",12,Age-standardised,13.9,7.2,24.3
E38000176,NHS North East and North Cumbria ICB - 00P,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",42,Age-standardised,27.3,19.7,36.9
