SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",152,Age-standardised,31.7,26.8,37.2
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",119,Age-standardised,28.3,23.4,33.9
E38000258,NHS Birmingham and Solihull ICB - 15E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",194,Age-standardised,34.6,29.9,39.9
E38000259,NHS Black Country ICB - D2P2L,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",197,Age-standardised,34.6,29.9,39.8
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",114,Age-standardised,25.7,21.2,30.9
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",96,Age-standardised,28.9,23.4,35.3
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",86,Age-standardised,30.7,24.6,38
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",54,Age-standardised,24.6,18.5,32.1
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",130,Age-standardised,30.7,25.7,36.5
E38000068,NHS Cheshire and Merseyside ICB - 01F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",16,Age-standardised,24.7,14.1,40.2
E38000091,NHS Cheshire and Merseyside ICB - 01J,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",20,Age-standardised,26.4,16.1,40.9
E38000161,NHS Cheshire and Merseyside ICB - 01T,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",20,Age-standardised,21.7,13.2,33.6
E38000170,NHS Cheshire and Merseyside ICB - 01V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",15,Age-standardised,17.4,9.6,29
E38000172,NHS Cheshire and Merseyside ICB - 01X,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",31,Age-standardised,31.8,21.6,45.2
E38000194,NHS Cheshire and Merseyside ICB - 02E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",37,Age-standardised,34,23.9,46.8
E38000208,NHS Cheshire and Merseyside ICB - 12F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",44,Age-standardised,23.1,16.8,31.1
E38000233,NHS Cheshire and Merseyside ICB - 27D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",111,Age-standardised,26.5,21.7,31.9
E38000101,NHS Cheshire and Merseyside ICB - 99A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",57,Age-standardised,27.5,20.8,35.7
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",100,Age-standardised,27.2,22.1,33.1
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",121,Age-standardised,27.1,22.5,32.4
E38000261,NHS Derby and Derbyshire ICB - 15M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",196,Age-standardised,34.5,29.8,39.7
E38000230,NHS Devon ICB - 15N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",209,Age-standardised,29.2,25.3,33.4
E38000045,NHS Dorset ICB - 11J,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",131,Age-standardised,27.6,23,32.9
E38000252,NHS Frimley ICB - D4U1Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",105,Age-standardised,31.2,25.5,37.8
E38000062,NHS Gloucestershire ICB - 11M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",109,Age-standardised,30.8,25.3,37.2
E38000016,NHS Greater Manchester ICB - 00T,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",40,Age-standardised,29.5,21.1,40.2
E38000024,NHS Greater Manchester ICB - 00V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",27,Age-standardised,28.5,18.8,41.5
E38000135,NHS Greater Manchester ICB - 00Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",39,Age-standardised,36.1,25.6,49.3
E38000080,NHS Greater Manchester ICB - 01D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",36,Age-standardised,34.8,24.4,48.2
E38000143,NHS Greater Manchester ICB - 01G,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",25,Age-standardised,24.6,15.8,36.3
E38000174,NHS Greater Manchester ICB - 01W,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",39,Age-standardised,24.6,17.5,33.7
E38000263,NHS Greater Manchester ICB - 01Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",23,Age-standardised,20.8,13.2,31.3
E38000187,NHS Greater Manchester ICB - 02A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",38,Age-standardised,33.2,23.4,45.6
E38000205,NHS Greater Manchester ICB - 02H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",34,Age-standardised,20.6,14.3,28.9
E38000217,NHS Greater Manchester ICB - 14L,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",56,Age-standardised,31.7,23.7,41.4
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",20,Age-standardised,23.3,14.2,36.1
