Geography_name,Year,Main_group,icb23cd,Detailed_group,Gender,Count,type_of_rate,Rate,LCI,UCI,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,Bladder,E54000040,All Bladder,Females,88,Age-standardised,16.5,13.2,20.3,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2021,Bladder,E54000024,All Bladder,Females,64,Age-standardised,14.5,11.2,18.6,E54000024
NHS Birmingham and Solihull Integrated Care Board,2021,Bladder,E54000055,All Bladder,Females,80,Age-standardised,14,11.1,17.4,E54000055
NHS Black Country Integrated Care Board,2021,Bladder,E54000062,All Bladder,Females,106,Age-standardised,17.6,14.4,21.3,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2021,Bladder,E54000039,All Bladder,Females,106,Age-standardised,22.2,18.2,26.9,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2021,Bladder,E54000044,All Bladder,Females,125,Age-standardised,13.7,11.4,16.4,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,2021,Bladder,E54000056,All Bladder,Females,77,Age-standardised,17.1,13.5,21.3,E54000056
NHS Cheshire and Merseyside Integrated Care Board,2021,Bladder,E54000008,All Bladder,Females,222,Age-standardised,15.5,13.5,17.7,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,2021,Bladder,E54000036,All Bladder,Females,67,Age-standardised,17.1,13.3,21.8,E54000036
NHS Coventry and Warwickshire Integrated Care Board,2021,Bladder,E54000018,All Bladder,Females,74,Age-standardised,15.2,11.9,19.2,E54000018
NHS Derby and Derbyshire Integrated Care Board,2021,Bladder,E54000058,All Bladder,Females,92,Age-standardised,14.7,11.8,18,E54000058
NHS Devon Integrated Care Board,2021,Bladder,E54000037,All Bladder,Females,129,Age-standardised,15.7,13.1,18.7,E54000037
NHS Dorset Integrated Care Board,2021,Bladder,E54000041,All Bladder,Females,74,Age-standardised,13.3,10.4,16.7,E54000041
NHS Frimley Integrated Care Board,2021,Bladder,E54000034,All Bladder,Females,42,Age-standardised,11.9,8.6,16.2,E54000034
NHS Gloucestershire Integrated Care Board,2021,Bladder,E54000043,All Bladder,Females,67,Age-standardised,16.6,12.8,21.1,E54000043
NHS Greater Manchester Integrated Care Board,2021,Bladder,E54000057,All Bladder,Females,271,Age-standardised,20.7,18.3,23.3,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,2021,Bladder,E54000042,All Bladder,Females,169,Age-standardised,15.5,13.2,18.1,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,2021,Bladder,E54000019,All Bladder,Females,75,Age-standardised,14.5,11.4,18.2,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,2021,Bladder,E54000025,All Bladder,Females,77,Age-standardised,10.3,8.1,12.9,E54000025
NHS Humber and North Yorkshire Integrated Care Board,2021,Bladder,E54000051,All Bladder,Females,175,Age-standardised,16.4,14.1,19,E54000051
NHS Kent and Medway Integrated Care Board,2021,Bladder,E54000032,All Bladder,Females,153,Age-standardised,14.7,12.4,17.2,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,2021,Bladder,E54000048,All Bladder,Females,178,Age-standardised,18.1,15.5,20.9,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2021,Bladder,E54000015,All Bladder,Females,60,Age-standardised,10.5,8,13.6,E54000015
NHS Lincolnshire Integrated Care Board,2021,Bladder,E54000013,All Bladder,Females,79,Age-standardised,15.9,12.6,19.9,E54000013
NHS Mid and South Essex Integrated Care Board,2021,Bladder,E54000026,All Bladder,Females,121,Age-standardised,18.5,15.3,22.1,E54000026
NHS Norfolk and Waveney Integrated Care Board,2021,Bladder,E54000022,All Bladder,Females,88,Age-standardised,12.4,10,15.4,E54000022
NHS North Central London Integrated Care Board,2021,Bladder,E54000028,All Bladder,Females,69,Age-standardised,12.7,9.8,16.1,E54000028
NHS North East and North Cumbria Integrated Care Board,2021,Bladder,E54000050,All Bladder,Females,287,Age-standardised,16.6,14.7,18.7,E54000050
NHS North East London Integrated Care Board,2021,Bladder,E54000029,All Bladder,Females,100,Age-standardised,16.4,13.2,20,E54000029
NHS North West London Integrated Care Board,2021,Bladder,E54000027,All Bladder,Females,98,Age-standardised,12.2,9.9,14.9,E54000027
NHS Northamptonshire Integrated Care Board,2021,Bladder,E54000059,All Bladder,Females,60,Age-standardised,15.6,11.9,20.1,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,2021,Bladder,E54000060,All Bladder,Females,101,Age-standardised,16.7,13.6,20.3,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2021,Bladder,E54000011,All Bladder,Females,53,Age-standardised,16.5,12.3,21.6,E54000011
NHS Somerset Integrated Care Board,2021,Bladder,E54000038,All Bladder,Females,62,Age-standardised,16.1,12.2,20.7,E54000038
NHS South East London Integrated Care Board,2021,Bladder,E54000030,All Bladder,Females,101,Age-standardised,15.2,12.3,18.5,E54000030
NHS South West London Integrated Care Board,2021,Bladder,E54000031,All Bladder,Females,94,Age-standardised,15.5,12.5,19,E54000031
NHS South Yorkshire Integrated Care Board,2021,Bladder,E54000061,All Bladder,Females,115,Age-standardised,15.9,13.1,19.1,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021,Bladder,E54000010,All Bladder,Females,108,Age-standardised,16.3,13.4,19.7,E54000010
NHS Suffolk and North East Essex Integrated Care Board,2021,Bladder,E54000023,All Bladder,Females,92,Age-standardised,14.8,11.9,18.2,E54000023
NHS Surrey Heartlands Integrated Care Board,2021,Bladder,E54000063,All Bladder,Females,75,Age-standardised,13.1,10.3,16.5,E54000063
NHS Sussex Integrated Care Board,2021,Bladder,E54000064,All Bladder,Females,156,Age-standardised,14.3,12.1,16.7,E54000064
NHS West Yorkshire Integrated Care Board,2021,Bladder,E54000054,All Bladder,Females,232,Age-standardised,19.9,17.4,22.6,E54000054
