Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,3,1.7,4.8
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,5,Age-standardised,,,
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,9,Age-standardised,,,
NHS Black Country Integrated Care Board,E54000062,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,8,Age-standardised,,,
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,15,Age-standardised,3,1.7,5
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,2.8,1.8,4.1
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,10,Age-standardised,2.2,1,4
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,47,Age-standardised,3.2,2.4,4.3
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,12,Age-standardised,2.9,1.5,5.2
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,10,Age-standardised,2,0.9,3.7
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,29,Age-standardised,4.7,3.2,6.8
NHS Devon Integrated Care Board,E54000037,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,24,Age-standardised,2.9,1.9,4.4
NHS Dorset Integrated Care Board,E54000041,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,2.8,1.6,4.6
NHS Frimley Integrated Care Board,E54000034,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,7,Age-standardised,,,
NHS Gloucestershire Integrated Care Board,E54000043,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,7,Age-standardised,,,
NHS Greater Manchester Integrated Care Board,E54000057,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,47,Age-standardised,3.6,2.7,4.8
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,36,Age-standardised,3.3,2.3,4.6
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,8,Age-standardised,,,
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,17,Age-standardised,2.3,1.3,3.6
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,32,Age-standardised,2.9,2,4.2
NHS Kent and Medway Integrated Care Board,E54000032,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,30,Age-standardised,2.9,1.9,4.1
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,35,Age-standardised,3.4,2.4,4.8
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,12,Age-standardised,2.1,1.1,3.6
NHS Lincolnshire Integrated Care Board,E54000013,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,22,Age-standardised,4.5,2.8,6.8
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,17,Age-standardised,2.5,1.5,4
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,24,Age-standardised,3.3,2.1,5
NHS North Central London Integrated Care Board,E54000028,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,10,Age-standardised,1.8,0.8,3.3
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,61,Age-standardised,3.5,2.7,4.6
NHS North East London Integrated Care Board,E54000029,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,17,Age-standardised,2.7,1.5,4.4
NHS North West London Integrated Care Board,E54000027,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,2.1,1.2,3.4
NHS Northamptonshire Integrated Care Board,E54000059,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,11,Age-standardised,2.8,1.4,5.1
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,26,Age-standardised,4.4,2.9,6.5
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,5,2.8,8.1
NHS Somerset Integrated Care Board,E54000038,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,15,Age-standardised,3.6,2,6
NHS South East London Integrated Care Board,E54000030,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,3.8,2.4,5.6
NHS South West London Integrated Care Board,E54000031,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,19,Age-standardised,3.1,1.9,4.9
NHS South Yorkshire Integrated Care Board,E54000061,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,29,Age-standardised,3.9,2.6,5.7
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,17,Age-standardised,2.6,1.5,4.2
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,19,Age-standardised,3,1.8,4.7
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,13,Age-standardised,2.4,1.3,4.1
NHS Sussex Integrated Care Board,E54000064,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,34,Age-standardised,3.1,2.2,4.4
NHS West Yorkshire Integrated Care Board,E54000054,Females,2021,Renal pelvis and ureter,All Renal pelvis and ureter,47,Age-standardised,4,2.9,5.3
