Geography_name,Geography_code,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10.9,8.3,14.2,58
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9.3,6.6,12.7,40
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.3,11.3,17.8,82
NHS Black Country Integrated Care Board,E54000062,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.8,9.2,14.9,71
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.5,9.5,16.1,60
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9.5,7.6,11.7,86
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10.2,7.5,13.6,46
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13,11.2,15,186
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10,7.1,13.7,39
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10.3,7.6,13.5,51
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.2,11.4,17.5,87
NHS Devon Integrated Care Board,E54000037,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10.2,8,12.7,80
NHS Dorset Integrated Care Board,E54000041,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.1,9.3,15.6,65
NHS Frimley Integrated Care Board,E54000034,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.2,8,15.2,41
NHS Gloucestershire Integrated Care Board,E54000043,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,8.7,6,12.1,34
NHS Greater Manchester Integrated Care Board,E54000057,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.3,14.1,18.6,212
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9.1,7.4,11.1,100
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,8.1,5.7,11,40
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10.2,8,12.7,79
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.3,9.3,13.5,118
NHS Kent and Medway Integrated Care Board,E54000032,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9.4,7.6,11.4,96
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13.5,11.3,16,134
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,8.8,6.5,11.6,50
NHS Lincolnshire Integrated Care Board,E54000013,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.3,9.4,15.8,62
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.3,8.9,14.1,76
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9.2,7,11.8,63
NHS North Central London Integrated Care Board,E54000028,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.5,8.8,14.8,63
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13.5,11.8,15.4,234
NHS North East London Integrated Care Board,E54000029,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.3,11.4,17.7,89
NHS North West London Integrated Care Board,E54000027,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13.9,11.4,16.7,114
NHS Northamptonshire Integrated Care Board,E54000059,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9.8,6.9,13.4,38
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.9,9.3,15,73
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,5.7,3.4,9,19
NHS Somerset Integrated Care Board,E54000038,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,10.2,7.2,13.9,40
NHS South East London Integrated Care Board,E54000030,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13.5,10.8,16.6,91
NHS South West London Integrated Care Board,E54000031,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.9,10.1,16.1,78
NHS South Yorkshire Integrated Care Board,E54000061,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.2,9.8,15.1,87
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.3,9.8,15.3,82
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,9,6.8,11.8,55
