SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,97,Age-standardised,19.5,15.8,23.9
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,85,Age-standardised,19.2,15.3,23.8
E38000258,NHS Birmingham and Solihull ICB - 15E,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,128,Age-standardised,21.6,18,25.7
E38000259,NHS Black Country ICB - D2P2L,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,107,Age-standardised,18.4,15.1,22.3
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,114,Age-standardised,24.2,19.9,29.1
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,67,Age-standardised,19.3,14.9,24.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,60,Age-standardised,20.5,15.6,26.5
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,51,Age-standardised,21.8,16.2,28.7
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,101,Age-standardised,23,18.7,27.9
E38000068,NHS Cheshire and Merseyside ICB - 01F,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,13,Age-standardised,19.4,10.3,33.1
E38000091,NHS Cheshire and Merseyside ICB - 01J,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,19,Age-standardised,24.5,14.7,38.4
E38000161,NHS Cheshire and Merseyside ICB - 01T,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,24,Age-standardised,26.1,16.6,38.9
E38000170,NHS Cheshire and Merseyside ICB - 01V,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,17,Age-standardised,22.1,12.6,35.7
E38000172,NHS Cheshire and Merseyside ICB - 01X,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,29,Age-standardised,29.7,19.9,42.7
E38000194,NHS Cheshire and Merseyside ICB - 02E,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,25,Age-standardised,23.1,15,34.2
E38000208,NHS Cheshire and Merseyside ICB - 12F,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,60,Age-standardised,31.4,23.9,40.5
E38000233,NHS Cheshire and Merseyside ICB - 27D,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,98,Age-standardised,23.1,18.7,28.2
E38000101,NHS Cheshire and Merseyside ICB - 99A,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,51,Age-standardised,23.3,17.4,30.7
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,85,Age-standardised,24,19.1,29.8
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,84,Age-standardised,17.6,14,21.8
E38000261,NHS Derby and Derbyshire ICB - 15M,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,122,Age-standardised,21.2,17.6,25.3
E38000230,NHS Devon ICB - 15N,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,162,Age-standardised,21.9,18.6,25.7
E38000045,NHS Dorset ICB - 11J,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,113,Age-standardised,24,19.7,29
E38000252,NHS Frimley ICB - D4U1Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,79,Age-standardised,22.7,17.9,28.3
E38000062,NHS Gloucestershire ICB - 11M,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,79,Age-standardised,21.7,17.2,27.1
E38000016,NHS Greater Manchester ICB - 00T,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,24,Age-standardised,17.2,11,25.6
E38000024,NHS Greater Manchester ICB - 00V,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,24,Age-standardised,24.8,15.9,36.9
E38000135,NHS Greater Manchester ICB - 00Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,19,Age-standardised,17.3,10.4,27
E38000080,NHS Greater Manchester ICB - 01D,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,22,Age-standardised,21.1,13.2,31.9
E38000143,NHS Greater Manchester ICB - 01G,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,26,Age-standardised,22.9,14.9,33.7
E38000174,NHS Greater Manchester ICB - 01W,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,33,Age-standardised,20.2,13.8,28.4
E38000263,NHS Greater Manchester ICB - 01Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,36,Age-standardised,31.9,22.3,44.2
E38000187,NHS Greater Manchester ICB - 02A,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,20,Age-standardised,17.2,10.5,26.6
E38000205,NHS Greater Manchester ICB - 02H,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,36,Age-standardised,21,14.7,29.1
E38000217,NHS Greater Manchester ICB - 14L,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,47,Age-standardised,26.2,19,35.2
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,24,Age-standardised,25.8,16.4,38.4
