Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,E54000040,Males,Head and neck,All Head and neck,113,Age-standardised,24.3,20,29.3
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2022,E54000024,Males,Head and neck,All Head and neck,112,Age-standardised,26.8,22,32.3
NHS Birmingham and Solihull Integrated Care Board,2022,E54000055,Males,Head and neck,All Head and neck,157,Age-standardised,30.7,26,35.9
NHS Black Country Integrated Care Board,2022,E54000062,Males,Head and neck,All Head and neck,153,Age-standardised,28.5,24.2,33.4
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2022,E54000039,Males,Head and neck,All Head and neck,126,Age-standardised,29.8,24.8,35.5
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2022,E54000044,Males,Head and neck,All Head and neck,199,Age-standardised,24.2,21,27.9
NHS Cambridgeshire and Peterborough Integrated Care Board,2022,E54000056,Males,Head and neck,All Head and neck,110,Age-standardised,26.8,22,32.3
NHS Cheshire and Merseyside Integrated Care Board,2022,E54000008,Males,Head and neck,All Head and neck,458,Age-standardised,36.6,33.3,40.1
NHS Cornwall and the Isles of Scilly Integrated Care Board,2022,E54000036,Males,Head and neck,All Head and neck,94,Age-standardised,28.1,22.7,34.5
NHS Coventry and Warwickshire Integrated Care Board,2022,E54000018,Males,Head and neck,All Head and neck,115,Age-standardised,26.8,22.1,32.2
NHS Derby and Derbyshire Integrated Care Board,2022,E54000058,Males,Head and neck,All Head and neck,156,Age-standardised,28.9,24.5,33.8
NHS Devon Integrated Care Board,2022,E54000037,Males,Head and neck,All Head and neck,186,Age-standardised,27.7,23.8,32
NHS Dorset Integrated Care Board,2022,E54000041,Males,Head and neck,All Head and neck,130,Age-standardised,29.7,24.7,35.3
NHS Frimley Integrated Care Board,2022,E54000034,Males,Head and neck,All Head and neck,74,Age-standardised,22.1,17.3,27.8
