SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C50,Malignant neoplasm of breast,933,Age-standardised,194.3,181.9,207.2
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C50,Malignant neoplasm of breast,693,Age-standardised,156.3,144.9,168.5
E38000258,NHS Birmingham and Solihull ICB - 15E,C50,Malignant neoplasm of breast,971,Age-standardised,167.9,157.4,178.9
E38000259,NHS Black Country ICB - D2P2L,C50,Malignant neoplasm of breast,946,Age-standardised,162.5,152.3,173.3
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C50,Malignant neoplasm of breast,854,Age-standardised,187.1,174.7,200.2
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C50,Malignant neoplasm of breast,613,Age-standardised,182.2,168,197.3
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C50,Malignant neoplasm of breast,521,Age-standardised,185.2,169.6,201.9
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C50,Malignant neoplasm of breast,444,Age-standardised,190.5,173.2,209.2
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C50,Malignant neoplasm of breast,751,Age-standardised,174.8,162.5,187.8
E38000068,NHS Cheshire and Merseyside ICB - 01F,C50,Malignant neoplasm of breast,103,Age-standardised,154.3,125.9,187.2
E38000091,NHS Cheshire and Merseyside ICB - 01J,C50,Malignant neoplasm of breast,131,Age-standardised,167.4,139.8,198.8
E38000161,NHS Cheshire and Merseyside ICB - 01T,C50,Malignant neoplasm of breast,179,Age-standardised,196,168,227.2
E38000170,NHS Cheshire and Merseyside ICB - 01V,C50,Malignant neoplasm of breast,105,Age-standardised,141.5,114.8,172.3
E38000172,NHS Cheshire and Merseyside ICB - 01X,C50,Malignant neoplasm of breast,140,Age-standardised,146.1,122.8,172.5
E38000194,NHS Cheshire and Merseyside ICB - 02E,C50,Malignant neoplasm of breast,207,Age-standardised,191.4,166.2,219.4
E38000208,NHS Cheshire and Merseyside ICB - 12F,C50,Malignant neoplasm of breast,321,Age-standardised,173.7,155,194
E38000233,NHS Cheshire and Merseyside ICB - 27D,C50,Malignant neoplasm of breast,744,Age-standardised,182.2,169.3,196
E38000101,NHS Cheshire and Merseyside ICB - 99A,C50,Malignant neoplasm of breast,351,Age-standardised,160,143.6,177.8
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C50,Malignant neoplasm of breast,564,Age-standardised,166.1,152.4,180.7
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C50,Malignant neoplasm of breast,785,Age-standardised,171.4,159.6,183.8
E38000261,NHS Derby and Derbyshire ICB - 15M,C50,Malignant neoplasm of breast,993,Age-standardised,172.4,161.8,183.5
E38000230,NHS Devon ICB - 15N,C50,Malignant neoplasm of breast,1222,Age-standardised,173.9,164.1,184.1
E38000045,NHS Dorset ICB - 11J,C50,Malignant neoplasm of breast,811,Age-standardised,173.4,161.4,186
E38000252,NHS Frimley ICB - D4U1Y,C50,Malignant neoplasm of breast,619,Age-standardised,175.4,161.8,189.9
E38000062,NHS Gloucestershire ICB - 11M,C50,Malignant neoplasm of breast,641,Age-standardised,183.1,169.1,198
E38000016,NHS Greater Manchester ICB - 00T,C50,Malignant neoplasm of breast,244,Age-standardised,176.4,154.9,200
E38000024,NHS Greater Manchester ICB - 00V,C50,Malignant neoplasm of breast,149,Age-standardised,152.9,129.3,179.5
E38000135,NHS Greater Manchester ICB - 00Y,C50,Malignant neoplasm of breast,167,Age-standardised,150.6,128.6,175.3
E38000080,NHS Greater Manchester ICB - 01D,C50,Malignant neoplasm of breast,159,Age-standardised,150,127.6,175.2
E38000143,NHS Greater Manchester ICB - 01G,C50,Malignant neoplasm of breast,146,Age-standardised,134.2,113.1,158
E38000174,NHS Greater Manchester ICB - 01W,C50,Malignant neoplasm of breast,280,Age-standardised,179.3,158.8,201.7
E38000263,NHS Greater Manchester ICB - 01Y,C50,Malignant neoplasm of breast,213,Age-standardised,190.7,166,218.2
E38000187,NHS Greater Manchester ICB - 02A,C50,Malignant neoplasm of breast,191,Age-standardised,161.8,139.5,186.6
E38000205,NHS Greater Manchester ICB - 02H,C50,Malignant neoplasm of breast,258,Age-standardised,153.1,135,173
