Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2021,Small intestine,All Small intestine,Age-standardised,2.3,1.2,4.1,12,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2021,Small intestine,All Small intestine,Age-standardised,,,,8,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2021,Small intestine,All Small intestine,Age-standardised,3.8,2.3,5.8,21,E54000055
NHS Black Country Integrated Care Board,E54000062,Females,2021,Small intestine,All Small intestine,Age-standardised,2.4,1.3,4,14,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2021,Small intestine,All Small intestine,Age-standardised,2.9,1.6,4.9,14,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2021,Small intestine,All Small intestine,Age-standardised,2.5,1.6,3.8,22,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2021,Small intestine,All Small intestine,Age-standardised,2.2,1.1,4.1,10,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2021,Small intestine,All Small intestine,Age-standardised,2.9,2.1,4,40,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2021,Small intestine,All Small intestine,Age-standardised,3.2,1.6,5.7,12,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2021,Small intestine,All Small intestine,Age-standardised,3.5,2,5.6,16,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2021,Small intestine,All Small intestine,Age-standardised,2.5,1.4,4.1,15,E54000058
NHS Devon Integrated Care Board,E54000037,Females,2021,Small intestine,All Small intestine,Age-standardised,4.3,2.9,6,33,E54000037
NHS Dorset Integrated Care Board,E54000041,Females,2021,Small intestine,All Small intestine,Age-standardised,3.7,2.2,5.8,19,E54000041
NHS Frimley Integrated Care Board,E54000034,Females,2021,Small intestine,All Small intestine,Age-standardised,3.1,1.5,5.5,11,E54000034
